Saved Sample Number,Date,Timestamp,Elapsed Time (seconds),Elapsed Time (minutes),Gas Sensor 1 Raw,Gas Sensor 1 Voltage (V),Gas Sensor 2 Raw,Gas Sensor 2 Voltage (V),Gas Sensor 3 Raw,Gas Sensor 3 Voltage (V),Temperature (C),Humidity (%),Pressure (hPa),BME680 Gas Resistance (kOhms)
1,2026-07-21,2026-07-21 06:28:44 PM,30.048,0.5008,4758,0.5948,4260,0.5325,8027,1.0034,26.6,40.77,992.9,126.76
2,2026-07-21,2026-07-21 06:29:14 PM,60.028,1.0005,4742,0.5928,4231,0.5289,8054,1.0068,26.75,40.28,992.94,132.57
3,2026-07-21,2026-07-21 06:29:44 PM,90.034,1.5006,4739,0.5924,4209,0.5261,8079,1.0099,26.85,40.06,992.99,133.61
4,2026-07-21,2026-07-21 06:30:14 PM,120.023,2.0004,4749,0.5936,4191,0.5239,8105,1.0131,26.91,39.91,992.96,133.51
5,2026-07-21,2026-07-21 06:30:44 PM,150.021,2.5003,4762,0.5953,4181,0.5226,8126,1.0158,26.97,39.77,992.95,133.72
6,2026-07-21,2026-07-21 06:31:14 PM,180.034,3.0006,4778,0.5973,4163,0.5204,8145,1.0181,27.01,39.71,992.95,132.57
7,2026-07-21,2026-07-21 06:31:44 PM,210.042,3.5007,4796,0.5995,4151,0.5189,8167,1.0209,27.05,39.63,992.97,132.06
8,2026-07-21,2026-07-21 06:32:14 PM,240.021,4.0003,4816,0.602,4138,0.5173,8180,1.0225,27.08,39.58,992.97,131.76
9,2026-07-21,2026-07-21 06:32:44 PM,270.011,4.5002,4837,0.6046,4123,0.5154,8214,1.0268,27.11,39.54,992.94,130.74
10,2026-07-21,2026-07-21 06:33:14 PM,300.011,5.0002,4859,0.6074,4108,0.5135,8232,1.029,27.15,39.49,992.95,130.74
11,2026-07-21,2026-07-21 06:33:44 PM,330.018,5.5003,4880,0.61,4096,0.512,8256,1.032,27.18,39.45,992.94,130.65
12,2026-07-21,2026-07-21 06:34:14 PM,360.005,6.0001,4901,0.6126,4084,0.5105,8281,1.0351,27.2,39.42,992.91,130.15
13,2026-07-21,2026-07-21 06:34:44 PM,390.018,6.5003,4927,0.6159,4071,0.5089,8298,1.0373,27.23,39.38,992.96,128.29
14,2026-07-21,2026-07-21 06:35:14 PM,420.001,7.0,4952,0.619,4059,0.5074,8323,1.0404,27.26,39.36,992.97,128.1
15,2026-07-21,2026-07-21 06:35:44 PM,450.007,7.5001,4972,0.6215,4050,0.5063,8341,1.0426,27.29,39.32,992.96,127.81
16,2026-07-21,2026-07-21 06:36:14 PM,480.002,8.0,5001,0.6251,4043,0.5054,8368,1.046,27.31,39.3,992.96,127.14
17,2026-07-21,2026-07-21 06:36:44 PM,510.195,8.5032,5023,0.6279,4024,0.503,8385,1.0481,27.33,39.27,992.95,126.76
18,2026-07-21,2026-07-21 06:37:14 PM,540.026,9.0004,5045,0.6306,4017,0.5021,8400,1.05,27.35,39.24,992.94,126.2
