timestamp_iso,elapsed_s,session_id,site_id,pcb_design_id,device_id,container_id,food_category,food_name,phase,adc_NH3,v_NH3,adc_CH4,v_CH4,adc_H2S,v_H2S,temp_C,pressure_Pa,humidity_pct,bme_gas_ohms,image_filename
2026-07-20T18:49:38,1.01,S0001,house_A,spoil_free_pcb_v1,pcb_A,chamber_A,none,empty,Warmup,21381,2.673,12549,1.569,5036,0.63,29.36,93602.0,68.05,5600.0,none
2026-07-20T18:49:40,2.93,S0001,house_A,spoil_free_pcb_v1,pcb_A,chamber_A,none,empty,Warmup,20167,2.521,11974,1.497,4737,0.592,29.39,93602.0,67.86,5600.0,none
2026-07-20T18:49:42,4.93,S0001,house_A,spoil_free_pcb_v1,pcb_A,chamber_A,none,empty,Warmup,18949,2.369,11537,1.442,4479,0.56,29.42,93602.0,67.67,5600.0,none
2026-07-20T18:49:44,6.93,S0001,house_A,spoil_free_pcb_v1,pcb_A,chamber_A,none,empty,Warmup,17751,2.219,11191,1.399,4249,0.531,29.45,93600.0,67.5,5600.0,none
2026-07-20T18:49:46,8.93,S0001,house_A,spoil_free_pcb_v1,pcb_A,chamber_A,none,empty,Warmup,16604,2.076,10910,1.364,4032,0.504,29.48,93600.0,67.37,5600.0,none
2026-07-20T18:49:48,10.93,S0001,house_A,spoil_free_pcb_v1,pcb_A,chamber_A,none,empty,Warmup,15505,1.938,10675,1.334,3826,0.478,29.51,93598.0,67.25,5600.0,none
2026-07-20T18:49:50,12.94,S0001,house_A,spoil_free_pcb_v1,pcb_A,chamber_A,none,empty,Warmup,14476,1.81,10476,1.31,3649,0.456,29.53,93598.0,67.16,5600.0,none
2026-07-20T18:49:52,14.93,S0001,house_A,spoil_free_pcb_v1,pcb_A,chamber_A,none,empty,Warmup,13512,1.689,10304,1.288,3482,0.435,29.55,93600.0,67.08,5600.0,none
2026-07-20T18:49:54,16.93,S0001,house_A,spoil_free_pcb_v1,pcb_A,chamber_A,none,empty,Warmup,12622,1.578,10153,1.269,3320,0.415,29.57,93600.0,67.04,5600.0,none
2026-07-20T18:49:56,18.93,S0001,house_A,spoil_free_pcb_v1,pcb_A,chamber_A,none,empty,Warmup,11807,1.476,10020,1.253,3175,0.397,29.59,93600.0,66.96,5600.0,none
2026-07-20T18:49:58,20.94,S0001,house_A,spoil_free_pcb_v1,pcb_A,chamber_A,none,empty,Warmup,11049,1.381,9899,1.237,3035,0.379,29.6,93598.0,66.93,5700.0,none
2026-07-20T18:50:00,22.93,S0001,house_A,spoil_free_pcb_v1,pcb_A,chamber_A,none,empty,Warmup,10358,1.295,9792,1.224,2901,0.363,29.61,93600.0,66.88,6300.0,none
2026-07-20T18:50:02,24.94,S0001,house_A,spoil_free_pcb_v1,pcb_A,chamber_A,none,empty,Warmup,9726,1.216,9693,1.212,2777,0.347,29.62,93598.0,66.87,6700.0,none
2026-07-20T18:50:22,25.93,S0001,house_A,spoil_free_pcb_v1,pcb_A,chamber_A,none,empty,Warmup,9146,1.143,9603,1.2,2656,0.332,29.63,93600.0,66.82,7300.0,capture_failed
2026-07-20T18:50:22,45.95,S0001,house_A,spoil_free_pcb_v1,pcb_A,chamber_A,none,empty,Warmup,8622,1.078,9523,1.19,2543,0.318,29.63,93598.0,66.79,7900.0,none
2026-07-20T18:50:22,45.96,S0001,house_A,spoil_free_pcb_v1,pcb_A,chamber_A,none,empty,Warmup,8142,1.018,9447,1.181,2439,0.305,29.64,93598.0,66.75,8600.0,none
2026-07-20T18:50:22,45.96,S0001,house_A,spoil_free_pcb_v1,pcb_A,chamber_A,none,empty,Warmup,7706,0.963,9377,1.172,2342,0.293,29.64,93600.0,66.75,9200.0,none
2026-07-20T18:50:22,45.96,S0001,house_A,spoil_free_pcb_v1,pcb_A,chamber_A,none,empty,Warmup,7306,0.913,9312,1.164,2254,0.282,29.65,93598.0,66.73,9900.0,none
2026-07-20T18:50:22,45.96,S0001,house_A,spoil_free_pcb_v1,pcb_A,chamber_A,none,empty,Warmup,6940,0.868,9255,1.157,2158,0.27,29.65,93598.0,66.72,10500.0,none
2026-07-20T18:50:22,45.96,S0001,house_A,spoil_free_pcb_v1,pcb_A,chamber_A,none,empty,Warmup,6599,0.825,9200,1.15,2082,0.26,29.66,93596.0,66.7,11200.0,none
2026-07-20T18:50:22,45.96,S0001,house_A,spoil_free_pcb_v1,pcb_A,chamber_A,none,empty,Warmup,6290,0.786,9147,1.143,2009,0.251,29.66,93598.0,66.68,12100.0,none
2026-07-20T18:50:22,45.97,S0001,house_A,spoil_free_pcb_v1,pcb_A,chamber_A,none,empty,Warmup,6009,0.751,9098,1.137,1930,0.241,29.67,93598.0,66.67,12800.0,none
2026-07-20T18:50:22,45.97,S0001,house_A,spoil_free_pcb_v1,pcb_A,chamber_A,none,empty,Warmup,5752,0.719,9051,1.131,1868,0.234,29.67,93598.0,66.66,13500.0,none
2026-07-20T18:50:24,46.97,S0001,house_A,spoil_free_pcb_v1,pcb_A,chamber_A,none,empty,Warmup,5516,0.69,9006,1.126,1810,0.226,29.68,93596.0,66.62,14200.0,none
2026-07-20T18:50:26,48.93,S0001,house_A,spoil_free_pcb_v1,pcb_A,chamber_A,none,empty,Warmup,5300,0.663,8965,1.121,1746,0.218,29.68,93596.0,66.59,14900.0,none
2026-07-20T18:50:28,50.93,S0001,house_A,spoil_free_pcb_v1,pcb_A,chamber_A,none,empty,Warmup,5093,0.637,8924,1.116,1688,0.211,29.68,93598.0,66.56,15600.0,none
2026-07-20T18:50:30,52.94,S0001,house_A,spoil_free_pcb_v1,pcb_A,chamber_A,none,empty,Warmup,4908,0.614,8887,1.111,1626,0.203,29.68,93598.0,66.54,16300.0,none
2026-07-20T18:50:32,54.93,S0001,house_A,spoil_free_pcb_v1,pcb_A,chamber_A,none,empty,Warmup,4728,0.591,8853,1.107,1565,0.196,29.69,93598.0,66.51,17100.0,none
2026-07-20T18:50:53,56.94,S0001,house_A,spoil_free_pcb_v1,pcb_A,chamber_A,none,empty,Warmup,4567,0.571,8819,1.102,1510,0.189,29.69,93598.0,66.49,17800.0,capture_failed
2026-07-20T18:50:53,76.94,S0001,house_A,spoil_free_pcb_v1,pcb_A,chamber_A,none,empty,Warmup,4416,0.552,8785,1.098,1449,0.181,29.69,93596.0,66.49,18400.0,none
2026-07-20T18:50:53,76.95,S0001,house_A,spoil_free_pcb_v1,pcb_A,chamber_A,none,empty,Warmup,4271,0.534,8753,1.094,1390,0.174,29.7,93596.0,66.46,19000.0,none
2026-07-20T18:50:53,76.95,S0001,house_A,spoil_free_pcb_v1,pcb_A,chamber_A,none,empty,Warmup,4138,0.517,8724,1.09,1330,0.166,29.7,93598.0,66.44,19700.0,none
2026-07-20T18:50:53,76.95,S0001,house_A,spoil_free_pcb_v1,pcb_A,chamber_A,none,empty,Warmup,4013,0.502,8696,1.087,1270,0.159,29.7,93598.0,66.42,20400.0,none
2026-07-20T18:50:53,76.95,S0001,house_A,spoil_free_pcb_v1,pcb_A,chamber_A,none,empty,Warmup,3897,0.487,8668,1.084,1212,0.152,29.71,93596.0,66.39,21100.0,none
2026-07-20T18:50:53,76.95,S0001,house_A,spoil_free_pcb_v1,pcb_A,chamber_A,none,empty,Warmup,3784,0.473,8643,1.08,1158,0.145,29.71,93596.0,66.37,21600.0,none
2026-07-20T18:50:53,76.95,S0001,house_A,spoil_free_pcb_v1,pcb_A,chamber_A,none,empty,Warmup,3682,0.46,8617,1.077,1104,0.138,29.71,93596.0,66.36,22300.0,none
2026-07-20T18:50:53,76.96,S0001,house_A,spoil_free_pcb_v1,pcb_A,chamber_A,none,empty,Warmup,3586,0.448,8594,1.074,1056,0.132,29.72,93594.0,66.34,23500.0,none
2026-07-20T18:50:53,76.96,S0001,house_A,spoil_free_pcb_v1,pcb_A,chamber_A,none,empty,Warmup,3500,0.438,8570,1.071,1010,0.126,29.72,93600.0,66.32,24200.0,none
2026-07-20T18:50:54,76.96,S0001,house_A,spoil_free_pcb_v1,pcb_A,chamber_A,none,empty,Warmup,3417,0.427,8548,1.069,967,0.121,29.73,93598.0,66.3,24800.0,none
2026-07-20T18:50:56,78.93,S0001,house_A,spoil_free_pcb_v1,pcb_A,chamber_A,none,empty,Warmup,3337,0.417,8526,1.066,925,0.116,29.73,93598.0,66.28,25400.0,none
2026-07-20T18:50:58,80.93,S0001,house_A,spoil_free_pcb_v1,pcb_A,chamber_A,none,empty,Warmup,3266,0.408,8506,1.063,886,0.111,29.73,93598.0,66.26,26100.0,none
2026-07-20T18:51:00,82.93,S0001,house_A,spoil_free_pcb_v1,pcb_A,chamber_A,none,empty,Warmup,3197,0.4,8486,1.061,848,0.106,29.73,93598.0,66.23,26600.0,none
2026-07-20T18:51:02,84.94,S0001,house_A,spoil_free_pcb_v1,pcb_A,chamber_A,none,empty,Warmup,3131,0.391,8467,1.058,815,0.102,29.74,93596.0,66.23,27300.0,none
2026-07-20T18:51:04,86.93,S0001,house_A,spoil_free_pcb_v1,pcb_A,chamber_A,none,empty,Warmup,3071,0.384,8448,1.056,783,0.098,29.74,93596.0,66.21,27900.0,none
2026-07-20T18:51:24,87.93,S0001,house_A,spoil_free_pcb_v1,pcb_A,chamber_A,none,empty,Warmup,3010,0.376,8431,1.054,754,0.094,29.74,93598.0,66.21,28500.0,capture_failed
2026-07-20T18:51:24,107.94,S0001,house_A,spoil_free_pcb_v1,pcb_A,chamber_A,none,empty,Warmup,2953,0.369,8414,1.052,731,0.091,29.75,93598.0,66.2,29100.0,none
2026-07-20T18:51:24,107.95,S0001,house_A,spoil_free_pcb_v1,pcb_A,chamber_A,none,empty,Warmup,2898,0.362,8396,1.05,706,0.088,29.75,93598.0,66.17,29800.0,none
2026-07-20T18:51:24,107.95,S0001,house_A,spoil_free_pcb_v1,pcb_A,chamber_A,none,empty,Warmup,2845,0.356,8381,1.048,683,0.085,29.75,93598.0,66.17,30300.0,none
2026-07-20T18:51:24,107.95,S0001,house_A,spoil_free_pcb_v1,pcb_A,chamber_A,none,empty,Warmup,2796,0.35,8365,1.046,659,0.082,29.76,93596.0,66.16,31000.0,none
2026-07-20T18:51:24,107.95,S0001,house_A,spoil_free_pcb_v1,pcb_A,chamber_A,none,empty,Warmup,2745,0.343,8351,1.044,640,0.08,29.76,93596.0,66.15,31500.0,none
2026-07-20T18:51:24,107.95,S0001,house_A,spoil_free_pcb_v1,pcb_A,chamber_A,none,empty,Warmup,2697,0.337,8334,1.042,624,0.078,29.76,93598.0,66.15,32100.0,none
2026-07-20T18:51:24,107.96,S0001,house_A,spoil_free_pcb_v1,pcb_A,chamber_A,none,empty,Warmup,2654,0.332,8322,1.04,605,0.076,29.77,93598.0,66.1,32600.0,none
2026-07-20T18:51:24,107.96,S0001,house_A,spoil_free_pcb_v1,pcb_A,chamber_A,none,empty,Warmup,2610,0.326,8307,1.038,590,0.074,29.77,93598.0,66.11,33200.0,none
2026-07-20T18:51:24,107.96,S0001,house_A,spoil_free_pcb_v1,pcb_A,chamber_A,none,empty,Warmup,2568,0.321,8294,1.037,574,0.072,29.77,93596.0,66.1,33900.0,none
2026-07-20T18:51:26,108.97,S0001,house_A,spoil_free_pcb_v1,pcb_A,chamber_A,none,empty,Warmup,2531,0.316,8281,1.035,561,0.07,29.78,93596.0,66.07,34500.0,none
2026-07-20T18:51:28,110.93,S0001,house_A,spoil_free_pcb_v1,pcb_A,chamber_A,none,empty,Warmup,2492,0.312,8269,1.034,548,0.069,29.78,93596.0,66.06,35100.0,none
2026-07-20T18:51:30,112.93,S0001,house_A,spoil_free_pcb_v1,pcb_A,chamber_A,none,empty,Warmup,2459,0.307,8256,1.032,534,0.067,29.78,93598.0,66.07,35600.0,none
2026-07-20T18:51:32,114.94,S0001,house_A,spoil_free_pcb_v1,pcb_A,chamber_A,none,empty,Warmup,2424,0.303,8244,1.031,525,0.066,29.79,93598.0,66.06,36200.0,none
2026-07-20T18:51:34,116.93,S0001,house_A,spoil_free_pcb_v1,pcb_A,chamber_A,none,empty,Warmup,2394,0.299,8233,1.029,516,0.065,29.79,93598.0,66.05,36700.0,none
2026-07-20T18:51:55,118.93,S0001,house_A,spoil_free_pcb_v1,pcb_A,chamber_A,none,empty,Warmup,2366,0.296,8221,1.028,503,0.063,29.79,93596.0,66.04,37300.0,capture_failed
2026-07-20T18:51:55,138.94,S0001,house_A,spoil_free_pcb_v1,pcb_A,chamber_A,none,empty,Warmup,2337,0.292,8211,1.026,493,0.062,29.8,93596.0,66.03,37800.0,none
2026-07-20T18:51:55,138.95,S0001,house_A,spoil_free_pcb_v1,pcb_A,chamber_A,none,empty,Warmup,2311,0.289,8201,1.025,486,0.061,29.8,93596.0,66.02,38300.0,none
2026-07-20T18:51:55,138.95,S0001,house_A,spoil_free_pcb_v1,pcb_A,chamber_A,none,empty,Warmup,2285,0.286,8191,1.024,478,0.06,29.8,93598.0,66.02,38900.0,none
2026-07-20T18:51:55,138.95,S0001,house_A,spoil_free_pcb_v1,pcb_A,chamber_A,none,empty,Warmup,2262,0.283,8180,1.023,470,0.059,29.81,93598.0,66.02,39500.0,none
2026-07-20T18:51:55,138.95,S0001,house_A,spoil_free_pcb_v1,pcb_A,chamber_A,none,empty,Warmup,2238,0.28,8170,1.021,462,0.058,29.81,93596.0,66.0,40000.0,none
2026-07-20T18:51:55,138.95,S0001,house_A,spoil_free_pcb_v1,pcb_A,chamber_A,none,empty,Warmup,2215,0.277,8160,1.02,454,0.057,29.81,93596.0,65.99,40500.0,none
2026-07-20T18:51:55,138.96,S0001,house_A,spoil_free_pcb_v1,pcb_A,chamber_A,none,empty,Warmup,2191,0.274,8152,1.019,448,0.056,29.82,93594.0,65.97,40900.0,none
2026-07-20T18:51:55,138.96,S0001,house_A,spoil_free_pcb_v1,pcb_A,chamber_A,none,empty,Warmup,2170,0.271,8144,1.018,443,0.055,29.82,93594.0,65.95,41600.0,none
2026-07-20T18:51:55,138.96,S0001,house_A,spoil_free_pcb_v1,pcb_A,chamber_A,none,empty,Warmup,2148,0.269,8134,1.017,436,0.055,29.82,93596.0,65.94,42100.0,none
2026-07-20T18:51:56,138.96,S0001,house_A,spoil_free_pcb_v1,pcb_A,chamber_A,none,empty,Warmup,2128,0.266,8126,1.016,432,0.054,29.82,93596.0,65.93,42800.0,none
2026-07-20T18:51:58,140.93,S0001,house_A,spoil_free_pcb_v1,pcb_A,chamber_A,none,empty,Warmup,2107,0.263,8118,1.015,425,0.053,29.83,93596.0,65.92,43300.0,none
