timestamp_iso,elapsed_s,session_id,site_id,pcb_design_id,device_id,container_id,food_category,food_name,phase,adc_NH3,v_NH3,adc_CH4,v_CH4,adc_H2S,v_H2S,temp_C,pressure_Pa,humidity_pct,bme_gas_ohms,image_filename
2026-08-02T11:28:28,0.0,S012_Anish_chicken2,house_A,spoil_free_pcb_v1,pcb_A,chamber_A,poultry,chicken,Warmup,2785,0.348,8353,1.044,437,0.055,28.73,93682.0,73.06,5600.0,none
2026-08-02T11:28:30,1.04,S012_Anish_chicken2,house_A,spoil_free_pcb_v1,pcb_A,chamber_A,poultry,chicken,Warmup,2686,0.336,8305,1.038,422,0.053,28.75,93682.0,72.88,5600.0,none
2026-08-02T11:28:32,3.04,S012_Anish_chicken2,house_A,spoil_free_pcb_v1,pcb_A,chamber_A,poultry,chicken,Warmup,2588,0.324,8259,1.032,408,0.051,28.77,93682.0,72.72,5600.0,none
2026-08-02T11:28:34,5.04,S012_Anish_chicken2,house_A,spoil_free_pcb_v1,pcb_A,chamber_A,poultry,chicken,Warmup,2498,0.312,8219,1.027,394,0.049,28.78,93682.0,72.59,5600.0,none
2026-08-02T11:28:36,7.04,S012_Anish_chicken2,house_A,spoil_free_pcb_v1,pcb_A,chamber_A,poultry,chicken,Warmup,2430,0.304,8182,1.023,384,0.048,28.8,93682.0,72.5,5600.0,none
2026-08-02T11:28:38,9.04,S012_Anish_chicken2,house_A,spoil_free_pcb_v1,pcb_A,chamber_A,poultry,chicken,Warmup,2368,0.296,8149,1.019,372,0.047,28.81,93680.0,72.41,5600.0,none
2026-08-02T11:28:40,11.04,S012_Anish_chicken2,house_A,spoil_free_pcb_v1,pcb_A,chamber_A,poultry,chicken,Warmup,2300,0.288,8114,1.014,363,0.045,28.82,93680.0,72.35,5600.0,none
2026-08-02T11:28:42,13.04,S012_Anish_chicken2,house_A,spoil_free_pcb_v1,pcb_A,chamber_A,poultry,chicken,Warmup,2245,0.281,8086,1.011,353,0.044,28.83,93678.0,72.31,6400.0,none
2026-08-02T11:28:44,15.04,S012_Anish_chicken2,house_A,spoil_free_pcb_v1,pcb_A,chamber_A,poultry,chicken,Warmup,2196,0.275,8058,1.007,345,0.043,28.84,93682.0,72.29,7200.0,none
2026-08-02T11:28:46,17.04,S012_Anish_chicken2,house_A,spoil_free_pcb_v1,pcb_A,chamber_A,poultry,chicken,Warmup,2152,0.269,8032,1.004,337,0.042,28.85,93682.0,72.25,8100.0,none
