Saved Sample Number,Date,Timestamp,Elapsed Time (seconds),Elapsed Time (minutes),Gas Sensor 1 Raw,Gas Sensor 1 Voltage (V),Gas Sensor 2 Raw,Gas Sensor 2 Voltage (V),Gas Sensor 3 Raw,Gas Sensor 3 Voltage (V),Temperature (C),Humidity (%),Pressure (hPa),BME680 Gas Resistance (kOhms)
1,2026-07-28,2026-07-28 12:49:42 AM,60.005,1.0001,7458,0.9323,4056,0.507,10265,1.2831,26.45,50.34,991.43,110.51
2,2026-07-28,2026-07-28 12:50:42 AM,120.03,2.0005,7340,0.9175,3984,0.498,10445,1.3056,26.63,49.69,991.4,112.11
3,2026-07-28,2026-07-28 12:51:42 AM,180.029,3.0005,7315,0.9144,3965,0.4956,10574,1.3218,26.77,50.18,991.38,110.73
4,2026-07-28,2026-07-28 12:52:42 AM,240.03,4.0005,7292,0.9115,3953,0.4941,10635,1.3294,26.88,50.42,991.34,109.73
5,2026-07-28,2026-07-28 12:53:42 AM,300.023,5.0004,7270,0.9088,3938,0.4923,10675,1.3344,26.98,50.53,991.36,110.08
6,2026-07-28,2026-07-28 12:54:42 AM,360.026,6.0004,7244,0.9055,3922,0.4903,10690,1.3363,27.05,50.56,991.33,110.37
7,2026-07-28,2026-07-28 12:55:42 AM,420.023,7.0004,7215,0.9019,3901,0.4876,10699,1.3374,27.12,50.57,991.36,110.73
8,2026-07-28,2026-07-28 12:56:42 AM,480.027,8.0004,7185,0.8981,3887,0.4859,10723,1.3404,27.18,50.58,991.35,110.73
9,2026-07-28,2026-07-28 12:57:42 AM,540.007,9.0001,7140,0.8925,3868,0.4835,10732,1.3415,27.23,50.57,991.35,110.87
10,2026-07-28,2026-07-28 12:58:42 AM,600.011,10.0002,7114,0.8893,3848,0.481,10751,1.3439,27.27,50.56,991.36,111.09
11,2026-07-28,2026-07-28 12:59:43 AM,660.204,11.0034,7073,0.8841,3835,0.4794,10763,1.3454,27.31,50.6,991.34,111.6
12,2026-07-28,2026-07-28 01:00:42 AM,720.005,12.0001,7044,0.8805,3818,0.4773,10772,1.3465,27.33,50.62,991.32,112.04
13,2026-07-28,2026-07-28 01:01:42 AM,780.018,13.0003,7029,0.8786,3805,0.4756,10780,1.3475,27.36,50.67,991.32,112.04
14,2026-07-28,2026-07-28 01:02:42 AM,840.018,14.0003,7004,0.8755,3790,0.4738,10787,1.3484,27.39,50.68,991.32,112.48
15,2026-07-28,2026-07-28 01:03:42 AM,900.014,15.0002,6991,0.8739,3778,0.4723,10780,1.3475,27.43,50.75,991.34,112.7
16,2026-07-28,2026-07-28 01:04:42 AM,960.009,16.0002,6974,0.8718,3767,0.4709,10785,1.3481,27.46,50.8,991.34,112.4
17,2026-07-28,2026-07-28 01:05:42 AM,1020.011,17.0002,6961,0.8701,3756,0.4695,10793,1.3491,27.5,50.87,991.32,112.48
18,2026-07-28,2026-07-28 01:06:42 AM,1080.008,18.0001,6940,0.8675,3744,0.468,10797,1.3496,27.53,50.95,991.33,112.4
19,2026-07-28,2026-07-28 01:07:42 AM,1140.008,19.0001,6916,0.8645,3739,0.4674,10803,1.3504,27.57,51.05,991.33,112.33
20,2026-07-28,2026-07-28 01:08:42 AM,1200.007,20.0001,6906,0.8633,3727,0.4659,10814,1.3518,27.6,51.15,991.33,111.96
21,2026-07-28,2026-07-28 01:09:42 AM,1260.003,21.0,6895,0.8619,3725,0.4656,10820,1.3525,27.63,51.24,991.31,112.18
22,2026-07-28,2026-07-28 01:10:42 AM,1320.004,22.0001,6889,0.8611,3718,0.4648,10831,1.3539,27.66,51.34,991.28,111.45
